Geo point;GENRE;ESPECE;ADRESSE;IDBASE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;OBJECTID;LIBELLEFRANCAIS
48.8732484628, 2.24887874572;Davidia;involucrata;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;2002355.0;Arbre;Jardin;BOIS DE BOULOGNE;16-20;;000701006;120.0;15.0;A;Inconnue;;1906-01-01T01:09:21+01:00;1;111927;Arbre aux mouchoirs
48.8433078707, 2.44974260862;Quercus;robur;FORT NEUF - AVENUE DE LA PEPINIERE / ROUTE DU GRAND MARECHAL;2002375.0;Arbre;Jardin;BOIS DE VINCENNES;12-26;;12-26;464.0;30.0;M;Inconnue;;1815-01-01T01:02:49+00:53;1;116544;Chêne
48.8311975549, 2.41168725636;Cryptomeria;japonica;ILE DE BERCY / LAC DAUMESNIL;2002359.0;Arbre;Jardin;BOIS DE VINCENNES;12-13;;12-13;122.0;18.0;A;Inconnue;;1893-01-01T01:02:49+00:53;1;126102;Cryptomeria
48.8330296265, 2.35069308175;Aesculus;hippocastanum;SQUARE RENE LE GALL;104841.0;Arbre;Jardin;PARIS 13E ARRDT;13-01;;00010270;360.0;15.0;M;Inconnue;;1894-01-01T01:09:21+01:00;1;159536;Marronnier
48.8582820141, 2.3626526639;Ficus;carica;SQUARE GEORGES CAIN / 8 RUE PAYENNE;116020.0;Arbre;Jardin;PARIS 3E ARRDT;03-01;;00000018;145.0;10.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;214082;Figuier
48.8767091018, 2.33192988137;Pterocarya;fraxinifolia;SQUARE D'ESTIENNE D'ORVES;323350.0;Arbre;Jardin;PARIS 9E ARRDT;09-01;;00000050;340.0;26.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;120773;Pterocarya
48.8803354834, 2.38130530981;Platanus;x hispanica;PARC DES BUTTES CHAUMONT;102141.0;Arbre;Jardin;PARIS 19E ARRDT;19-08;;H0690012;686.0;30.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;149289;Platane
48.8873178299, 2.31706267506;Diospyros;lotus;SQUARE DES BATIGNOLLES;135415.0;Arbre;Jardin;PARIS 17E ARRDT;17-12;;00000224;155.0;13.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;151780;Plaqueminier
48.8574173085, 2.31472511735;Magnolia;grandiflora;SQUARE D'AJACCIO;109016.0;Arbre;Jardin;PARIS 7E ARRDT;07-10;;00000034;155.0;13.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;123718;Magnolia
48.8678069026, 2.38883414897;Prunus;dulcis;CENTRE D'ANIMATION LES AMANDIERS / 110 RUE DES AMANDIERS;2013640.0;Arbre;DAC;PARIS 20E ARRDT;;;0000001;240.0;9.0;M;Inconnue;;2000-01-01T02:00:00+01:00;1;152396;Amandier
